Linee,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Totale complessivo
1,3,2.917,5,6.063,8.128,9.581,18.263,16.143,6.732,8.293,7.361,4.139,5.781,7.766,7.174,6.476,5.702,2.971,1.261,2.579,6.745
3,0,5.429,2.6,7.767,3.712,10.731,9,6.703,4.667,3.426,3.328,3.259,4.638,2.803,3.557,3.745,2.354,2.194,1.129,0.385,4.033
5,0,0,1.3,5.421,6.04,7.65,9.05,6.538,7.19,5.379,3.933,4.875,3.068,4.793,8.4,2.941,3.15,0.9,0,0,4.922
6,0,0,2.833,4.633,4.551,4.962,5.895,3.4,3.83,2.196,3.457,3.93,2.87,3.725,3.022,4.2,1.919,1.867,0,0,3.571
7,0,0,0.5,4,20,3.2,6.333,9,2.5,3,3.667,1,2,0,9,3,6,0,0,0,4.533
8A,0,0.5,1.368,3.182,2.898,3.125,3.524,5.433,2.972,2.821,1.786,2.233,2.479,2.442,2.167,2.684,2.3,2.241,4,0,2.618
9,0,5,3.143,2.962,3.571,3.02,2.359,4.094,1.327,1.548,2.813,1.627,2.087,1.855,3.463,1.461,1,0.667,0,0,2.184
10,0,0,2.5,1.533,2.462,1.615,5.5,3,1.941,2.222,1.545,0.923,3.444,4,6.286,3.6,5,0.4,0,0,2.396
13,0,1.5,2.375,3.667,1.267,4.222,7.8,2.308,2.778,1.76,1.063,0.76,1.375,0.488,1.8,2.167,1.3,0.6,0.667,0,1.627
15,0,0,0,1.5,3.5,1,3,1.053,7.8,2.75,1.8,1.333,1.3,1.545,1.2,1.286,0.571,0,0,0,1.78
17,0,0,0,0,0,4,0,1,0,2.5,1.5,3,0,2.333,11,2,1.5,0,0,0,3.136
18,0,0,0,0,3,5,0,0,0,4,2.333,0,0,0,1,0,0,0,0,0,2.389
20,0,0,10.5,2.133,2.885,3.5,5.688,1.962,2.174,1.333,1.688,1.895,2.905,1.871,1.485,0.879,2.053,0.875,0,0,2.118
41,0,0,0,2.75,3.125,2.077,1.211,7.25,3.667,4.75,1.6,2.571,2.25,0.889,4,2.5,6.5,0.5,0,0,2.308
30R,0.333,3,2.933,3.603,3.408,6.273,6.026,7.609,5.931,2.4,2.44,1.94,3.278,2.846,2.842,3.5,1.667,0.619,0.688,0.4,3.132
31R,0,0,0,0,0,0,3.133,8.556,4.615,2,4.5,2.625,4.083,3.682,4.556,3.067,1.417,2.143,0,0,2.84
M,0,2.4,2.15,3,6.047,5.791,11.136,10.444,6.233,4.208,4.267,3.104,3.635,5.45,5.061,5.263,3.536,1.733,0,0,4.556
PF,0,2,2.231,2,2.103,1.2,2.344,3.933,1.055,2.194,1.467,1.364,1.029,1.067,1.08,1.26,1.071,0.471,0,0,1.406
PQ,0,1.5,2.222,4.455,4.286,2.217,2,4.4,1.917,1.5,2.25,1,1,1.229,0.767,1.393,0.765,0.769,0,0,1.703
QS,0,2.4,1.192,1.676,2.326,1.786,1.932,2.515,1.906,1.6,1.569,1.144,1.221,1.485,1.931,1.56,0.938,0.833,0,0,1.519
1Q,0,0.8,2.182,1.962,2.188,2.722,1.314,3.071,3.071,3,0.743,0.58,1.222,1.268,1.481,1.467,0.906,0.938,4,0,1.443
Totale complessivo,0.615,2.259,2.621,3.604,3.876,4.233,4.886,5.294,3.323,2.86,2.774,2.261,2.703,2.638,3.105,2.735,2.037,1.301,0.632,0.617,3.021
